name,total,lat,lng
금호지구종점(종점방향),121,35.89638,128.5094
금호천년나무1단지건너,34,35.89715,128.51487
금호천년나무1단지동편,1277,35.8988,128.51642
금호천년나무1단지동편건너,574,35.8976,128.51713
금호천년나무1단지앞,198,35.89734,128.51479
금호화물자동차공영차고지,90,35.88561,128.5322
기곡(종점),1,35.93112,128.43979
기곡리2,3,35.92563,128.44376
기독교방송국건너,1833,nan,nan
기독교방송국앞,2089,nan,nan
기업은행대곡지점건너,1608,35.80807,128.53581
기업은행대곡지점앞,8962,35.80841,128.536
기업은행죽전동지점건너,2179,35.85719,128.53725
기업은행죽전동지점앞,884,35.85643,128.53753
김흥1리건너,18,35.75386,128.4937
김흥리마을입구,0,35.74885,128.49315
나불지건너,157,35.87827,128.71887
나불지앞,139,35.87845,128.71914
남구종합스포츠타운건너,190,35.83282,128.59789
남구종합스포츠타운앞,946,35.83259,128.5978
남구청건너1,356,35.84615,128.5985
남구청건너2,2822,35.84481,128.59733
남구청네거리1,2572,35.84482,128.59979
남구청네거리2,183,35.84474,128.59949
남구청앞,57,35.84616,128.5983
남대구IC1,5024,35.83722,128.53434
남대구IC2,2348,35.83743,128.53302
남도버스1,125,35.80775,128.52732
남도버스2,561,35.8082,128.52741
남명삼거리1,1542,35.83554,128.5787
남명삼거리2,370,35.83552,128.57785
남문시장건너1,159,35.86164,128.59167
남문시장건너2,5667,35.85956,128.59206
남문시장앞,13009,35.86038,128.59215
남문아파트앞,16,35.86179,128.59096
남부경찰서앞,5912,35.84314,128.58591
남부교육지원청건너,1570,35.83385,128.54636
남부교육지원청앞,2024,35.83392,128.5476
남부도서관앞,735,35.83284,128.58134
남부자동차종합시장건너,1797,35.8367,128.52298
남부자동차종합시장앞,751,35.8369,128.52308
남부초등학교건너,726,35.84465,128.5524
남부초등학교앞,162,35.84495,128.55219
남부초등학교앞2,2049,35.8435,128.54959
남산2동주민센터건너,165,35.86489,128.58854
남산2동주민센터앞,219,35.86406,128.58913
남산고등학교건너,261,35.85689,128.60828
남산고등학교앞,74,35.85833,128.6085
남산역(프린스호텔건너),7573,35.85654,128.58487
남산역건너(프린스호텔앞),10362,35.85633,128.58397
남산주유소건너,936,nan,nan
남산주유소앞,1047,nan,nan
남산초등학교건너,6385,35.86273,128.5824
남산초등학교앞,2726,35.86239,128.58254
남해오네뜨2차앞,38,35.69371,128.46565
내곡동마을회관,0,35.88666,128.75908
내당1동우체국건너,786,35.86546,128.56265
내당1동우체국앞,846,35.86517,128.56227
내당광명아파트,2225,35.8605,128.54637
내당삼익맨션건너,13125,35.86052,128.55685
내당삼익맨션앞,7112,35.86029,128.55667
내당코오롱아파트건너,3352,35.85827,128.54692
내당코오롱아파트앞,2371,35.8584,128.54698
내동,52,35.95699,128.66495
내일교회건너,93,35.83888,128.5158
내일교회앞,208,35.83888,128.51593
냉천리1,314,35.78276,128.64377
냉천리2,11,35.78196,128.64371
노곡동,11219,35.90566,128.56337
노변중학교,243,35.83839,128.69499
노변중학교건너,343,35.83848,128.69505
노변청구타운건너,189,35.84111,128.69246
노변청구타운앞,159,35.84105,128.69262
노원119안전센터건너,2509,35.89227,128.56656
노원119안전센터앞,898,35.89221,128.56696
노원네거리(대구은행건너),381,35.90024,128.57931
노원네거리(대구은행앞),937,35.90045,128.57919
노원네거리1(오봉새마을금고앞),1865,35.89982,128.58035
노원네거리2(오봉새마을금고건너),2624,35.8996,128.58044
노원네거리3(기업은행),1654,35.89864,128.57903
노원동화타운건너,132,35.89131,128.57704
노원동화타운앞,673,35.89145,128.57704
녹동서원건너,193,35.72291,128.64673
녹원맨션1,3545,35.8717,128.72868
녹원맨션2,2037,35.87178,128.72957
논공삼거리1,354,35.72673,128.43564
논공삼거리2,136,35.72662,128.43564
논공읍사무소,592,35.77384,128.42018
논공읍사무소건너1,573,35.77443,128.42152
논공읍사무소건너2,85,35.77351,128.41982
농산물도매시장건너,503,35.90425,128.54231
농산물도매시장앞,695,35.90421,128.54168
농수산물도매시장건너,554,35.90423,128.54702
농수산물도매시장앞,1399,35.90316,128.54661
농협동촌지점,137,35.88438,128.65363
농협방촌지점,859,35.88219,128.66561
농협중앙회건너,8730,35.87785,128.60792
농협중앙회앞,4922,35.87765,128.6072
농협중앙회중동지점건너,281,35.84722,128.61113
농협중앙회중동지점앞,93,35.84703,128.61133
농협하나로마트건너,5,35.85022,128.52916
능성동(종점)2,173,35.96318,128.74308
능성동예비군훈련장건너,1,35.96163,128.73276
능성동입구건너,80,35.95885,128.71089
다사고등학교건너,3776,35.86077,128.46203
다사고등학교앞,199,35.86081,128.46232
다사농협세천지점건너,2245,35.87395,128.47537
다사농협세천지점앞,883,35.87413,128.47515
다사농협주유소건너,40,35.87096,128.49677
다사농협주유소앞,2501,35.87116,128.49682
다사읍사무소서재출장소건너,736,35.87238,128.49462
다사읍사무소서재출장소앞,82,35.87242,128.49422
다사읍행정복지센터건너,1499,35.86127,128.45537
다사주공아파트건너,58,35.86651,128.45693
단산리(종점),6,35.7661,128.66087
달구벌종합복지관건너,746,35.8532,128.52467
달구벌종합복지관앞,377,35.85337,128.52473
달서공고건너,37,35.82502,128.53891
달서교회건너,8862,35.87227,128.56866
달서교회앞,5452,35.87202,128.56774
달서구새마을회건너,1305,35.8418,128.53501
달서구청건너,3491,35.82949,128.5339
달서구청앞,2444,35.82976,128.53374
달서구치매안심센터건너,1428,35.84263,128.53682
달서구치매안심센터앞,1375,35.8426,128.53723
달서종합시장건너,529,35.8394,128.54279
달서종합시장앞,343,35.83956,128.54328
달서중고등학교건너,4,35.88425,128.42208
달서초교,670,35.86702,128.54976
달성2차산업단지출장소건너,45,35.63975,128.42181
달성2차산업단지출장소앞,4,35.63996,128.42177
달성경찰서,539,35.69084,128.44708
달성경찰서건너,1078,nan,nan
달성공원건너,4327,35.87255,128.58224
달성공원앞,2478,35.87459,128.58202
달성군민운동장건너,311,35.72911,128.4523
달성군민운동장앞,387,35.72921,128.45215
달성군청건너,464,35.77529,128.4304
달성군청앞,444,35.77517,128.43048
달성기와건너,166,35.73632,128.46852
달성기와앞,372,35.7363,128.46869
달성산업단지건너,107,35.72979,128.46178
달성소방서건너,52,35.68214,128.44647
달성소방서앞,160,35.68206,128.44674
