name,total,lat,lng
대구보건대학건너1,82,nan,nan
대구보건대학건너2,78,nan,nan
대구보건대학앞1,407,nan,nan
대구보건대학앞2,664,nan,nan
대구보훈요양원건너,1,35.88637,128.41026
대구비지니스센터건너,270,35.83745,128.50743
대구비지니스센터앞,169,35.83692,128.50717
대구삼성창조캠퍼스1,226,35.88241,128.59525
대구삼성창조캠퍼스2,494,35.88276,128.59682
대구선방촌공원,26,35.88083,128.66978
대구섬유박물관,428,35.91907,128.64094
대구세명학교건너,52,35.86397,128.5237
대구소방본부건너,81,35.87824,128.59295
대구소방본부앞,608,35.87782,128.59461
대구스타디움건너,223,35.83264,128.69144
대구스타디움앞,378,35.83225,128.69139
대구시교육청건너,303,35.85676,128.61374
대구시교육청앞,1561,35.85788,128.61397
대구시설공단건너,2048,35.83817,128.56053
대구시설공단앞,10553,35.83833,128.5604
대구시지노인전문병원앞,764,35.8283,128.70982
대구신문사,368,35.87566,128.6223
대구역건너,804,35.87461,128.59751
대구역꽃시장,189,35.87679,128.59998
대구역북편네거리1,2223,35.87851,128.59546
대구역북편네거리2,5865,35.87846,128.59529
대구역서희스타힐스건너,382,35.8787,128.58967
대구역서희스타힐스앞,93,35.87884,128.58979
대구역센트럴자이,194,35.87538,128.58773
대구역앞,3791,35.87455,128.59775
대구예담학교,2,35.95471,128.58118
대구우편집중국앞,654,35.90982,128.61496
대구은행북비산지점건너1,1634,35.87791,128.57135
대구은행북비산지점건너2,562,35.87681,128.57133
대구은행북비산지점앞,2684,35.87814,128.57119
대구은행역(1번출구),1703,35.85998,128.61266
대구은행역(2번출구),2826,35.8597,128.61271
대구은행제2본점앞,2825,35.88393,128.58781
대구은행칠곡지점건너,1066,35.93568,128.54894
대구은행칠곡지점앞,1875,35.93648,128.54895
대구은행평리동지점건너,376,35.87892,128.55001
대구은행평리동지점앞,585,35.87879,128.55068
대구의료원건너,297,35.85875,128.54088
대구의료원라파엘웰빙센터,234,35.86002,128.53759
대구의료원라파엘웰빙센터건너,877,35.85979,128.53734
대구의료원앞,1065,35.85881,128.54064
대구일마이스터고교건너,942,35.88096,128.64725
대구일마이스터고교앞,482,35.88086,128.64751
대구전자공고남편,111,35.84676,128.52934
대구전자공업고등학교1,443,35.84732,128.53065
대구전자공업고등학교2,663,35.84788,128.53081
대구제일고등학교건너,4749,35.87219,128.57359
대구제일고등학교앞,2953,35.87196,128.57397
대구중앙중고등학교건너,1839,35.86808,128.61674
대구중앙중고등학교앞,2402,35.86787,128.61656
대구중앙중학교앞,100,35.86701,128.61488
대구중학교건너,711,35.85103,128.60329
대구중학교앞,591,35.85074,128.60349
대구지방경찰청,340,35.82864,128.63356
대구지방기상청,29,35.87848,128.65494
대구지방법원등기국건너,3710,35.87898,128.63474
대구지방법원등기국앞,1219,35.87887,128.63482
대구지방법원서부지원,67,35.85224,128.52718
대구차여성병원건너,6264,35.84069,128.57412
대구차여성병원앞,1057,35.84016,128.57529
대구칠곡초등학교건너,285,35.94574,128.55099
대구칠곡초등학교앞,951,35.94622,128.55134
대구콘서트하우스건너,4664,35.87545,128.59263
대구콘서트하우스앞,1271,35.87564,128.59253
대구택시협동조합건너,93,35.86844,128.53518
대구택시협동조합앞,107,35.86867,128.53521
대구텍건너,79,35.79937,128.62339
대구텍앞,112,35.79952,128.62356
대구학생문화센터,38,35.85225,128.52914
대구학생수련관입구앞,7,35.97891,128.69938
대구한의대학교부속한방병원건너,24,35.83737,128.60697
대구한의대학교부속한방병원앞,100,35.83668,128.60698
대구해올중고교건너,4653,35.83948,128.55278
대구해올중고교앞,571,35.8394,128.5529
대구향교건너,1964,35.86027,128.59588
대구향교앞,358,35.86015,128.59577
대덕마을건너,962,35.82967,128.66809
대덕마을앞,36,35.82969,128.66915
대덕맨션앞,307,35.83402,128.59655
대덕문화전당앞,27,35.83198,128.57718
대덕승마장앞,127,35.82307,128.55371
대덕천주교회1,132,35.83488,128.57013
대덕천주교회2,138,35.83491,128.57063
대덕천주교회3,92,35.83453,128.57138
대덕천주교회4,639,35.83535,128.57132
대덕초등학교건너,41,35.83066,128.56062
대동공업,88,35.72627,128.4569
대동금속앞,101,35.73601,128.45593
대동시장1,306,35.81137,128.53838
대동시장2,220,35.81136,128.53773
대륜중고등학교건너,3018,35.85348,128.65794
대륜중고등학교앞,254,35.85331,128.65738
대리마을앞,6,35.66493,128.42112
대림생수앞,34,35.77734,128.64485
대림육교1,7813,35.8725,128.74207
대림육교2,412,35.87217,128.74262
대명1동행정복지센터건너,2282,35.84229,128.57174
대명1동행정복지센터앞,1744,35.84191,128.57271
대명5동행정복지센터앞,1068,35.84359,128.58712
대명6동행정복지센터건너,168,35.83483,128.56555
대명6동행정복지센터앞,105,35.83494,128.56579
대명9동행정복지센터건너,218,35.83822,128.5799
대명9동행정복지센터앞,317,35.83756,128.57968
대명공연거리건너,3690,35.85411,128.58324
대명공연거리앞,1753,35.8545,128.583
대명시장건너,1704,35.85864,128.57782
대명시장앞,1938,35.85869,128.57713
대명역(1번출구),2954,35.83936,128.56518
