START_X,START_Y,ARRIVE_X,ARRIVE_Y
START_X,START_,ARRIVE_X,ARRIVE_
35.874145,128.61519,35.870481,128.591163
35.87097,128.689651,35.87097,128.689651
35.872933,128.63856,35.864075,128.572273
35.870731,128.59702,35.894975,128.607481
35.945146,128.54771,35.944028,128.563631
35.852548,128.50918,35.852548,128.509181
35.926558,128.54097,35.942881,128.558775
35.94669,128.575461,35.934874,128.557478
35.868821,128.57095,35.869675,128.633376
35.83773,128.5592,35.891765,128.596725
35.843575,128.54119,35.855801,128.551696
35.868081,128.56359,35.871098,128.596513
35.865173,128.59442,35.917065,128.54448
35.87097,128.689651,35.87097,128.689651
35.87097,128.689651,35.87097,128.689651
35.93665,128.559601,35.868194,128.556086
35.864603,128.62456,35.860086,128.60412
35.840253,128.53716,35.856858,128.533306
35.87077,128.604195,35.849675,128.60833
35.896976,128.61739,35.877085,128.627976
35.883103,128.60777,35.810636,128.617845
35.876163,128.56296,35.874991,128.562428
35.879766,128.57125,35.864346,128.560101
35.830691,128.62011,35.840511,128.690841
35.931786,128.55657,35.925634,128.546796
35.913463,128.54666,35.930161,128.547873
35.871336,128.53806,35.86434,128.607856
35.856968,128.56178,35.860885,128.617313
35.855275,128.60456,35.86965,128.602361
35.841018,128.62364,35.861276,128.56386
35.843238,128.59050,35.855393,128.589595
35.863673,128.55714,35.85248,128.554536
35.85458,128.549126,35.82227,128.53246
35.86652,128.59986,35.841095,128.581383
35.851631,128.58462,35.856215,128.563483
35.94467,128.54591,35.906313,128.540709
35.879511,128.63005,35.863423,128.701018
35.932095,128.55233,35.931821,128.565966
35.850895,128.57895,35.83209,128.611836
35.84483,128.587025,35.867541,128.602778
35.837305,128.55521,35.802955,128.551421
35.870551,128.59705,35.886638,128.625521
35.826231,128.50963,35.85221,128.505081
35.86464,128.598513,35.858738,128.52053
35.849221,128.53003,35.872105,128.56798
35.855611,128.55194,35.911188,128.577075
35.864666,128.59836,35.836753,128.602111
35.968738,128.55337,35.936356,128.566796
35.879578,128.62999,35.872808,128.647221
35.879473,128.62995,35.848578,128.672555
35.953713,128.56578,35.943218,128.559773
35.865938,128.60213,35.839008,128.622393
35.870898,128.59103,35.869715,128.59136
35.869665,128.59139,35.875931,128.567898
35.816583,128.53785,35.833328,128.611358
35.877643,128.63002,35.822373,128.624806
35.841476,128.61241,35.84756,128.62353
35.855568,128.50640,35.869156,128.57199
35.8646,128.598551,35.859871,128.582541
35.864718,128.59825,35.822235,128.527073
35.94166,128.56286,35.941683,128.561801
35.841888,128.57253,35.831156,128.623501
35.831833,128.62225,35.877678,128.635556
35.823241,128.62585,35.826868,128.627686
35.856613,128.65091,35.849705,128.62329
35.925371,128.54310,35.925013,128.552536
35.824605,128.52545,35.834413,128.555106
35.837505,128.53467,35.897586,128.543221
35.879353,128.63000,35.859036,128.576573
35.864916,128.59759,35.842746,128.618835
35.951818,128.56726,35.942646,128.56306
35.843275,128.52905,35.866096,128.544735
35.836833,128.53696,35.824001,128.531441
35.944443,128.57274,35.942921,128.564095
35.816165,128.54013,35.823858,128.528045
35.818956,128.63843,35.829678,128.608366
35.933628,128.54459,36.007369,128.548875
35.885493,128.57291,35.933288,128.551906
35.885748,128.57262,35.938968,128.546571
35.831939,128.62194,35.843629,128.706133
35.839457,128.70654,35.879846,128.610625
35.936764,128.56767,35.852145,128.616871
